step,metric,value
2600,MAX_DIST,42.49
2600,POPS_NUM,1448.00
2600,DISP_AVG,17.83
2600,MEM_USED,33100000.00
2600,LAST_FPS,5.64
2700,DISP_SUM,30943.01
2700,POP_SIZE,3343736.33
2700,MAX_DIST,43.83
2700,POPS_NUM,1614.00
2700,DISP_AVG,19.17
2700,MEM_USED,33100000.00
2700,LAST_FPS,5.04
2800,DISP_SUM,37228.83
2800,POP_SIZE,3609291.33
2800,MAX_DIST,45.62
2800,POPS_NUM,1803.00
2800,DISP_AVG,20.65
2800,MEM_USED,33100000.00
2800,LAST_FPS,4.25
2900,DISP_SUM,44175.16
2900,POP_SIZE,3950812.33
2900,MAX_DIST,53.26
2900,POPS_NUM,2009.00
2900,DISP_AVG,21.99
2900,MEM_USED,33100000.00
2900,LAST_FPS,3.95
3000,DISP_SUM,49600.93
3000,POP_SIZE,4293929.89
3000,MAX_DIST,53.26
3000,POPS_NUM,2164.00
3000,DISP_AVG,22.92
3000,MEM_USED,33100000.00
3000,LAST_FPS,3.53
3100,DISP_SUM,56935.77
3100,POP_SIZE,4671513.89
3100,MAX_DIST,58.14
3100,POPS_NUM,2361.00
3100,DISP_AVG,24.12
3100,MEM_USED,33100000.00
3100,LAST_FPS,3.36
3200,DISP_SUM,65713.11
3200,POP_SIZE,4945686.15
3200,MAX_DIST,60.61
3200,POPS_NUM,2580.00
3200,DISP_AVG,25.47
3200,MEM_USED,33100000.00
3200,LAST_FPS,3.14
3300,DISP_SUM,74412.63
3300,POP_SIZE,5209697.89
3300,MAX_DIST,62.68
3300,POPS_NUM,2787.00
3300,DISP_AVG,26.70
3300,MEM_USED,33100000.00
3300,LAST_FPS,2.79
3400,DISP_SUM,83265.66
3400,POP_SIZE,5526324.64
3400,MAX_DIST,65.46
3400,POPS_NUM,2970.00
3400,DISP_AVG,28.04
3400,MEM_USED,33100000.00
3400,LAST_FPS,2.23
3500,DISP_SUM,94487.41
3500,POP_SIZE,6013856.89
3500,MAX_DIST,65.86
3500,POPS_NUM,3184.00
3500,DISP_AVG,29.68
3500,MEM_USED,33100000.00
3500,LAST_FPS,2.53
3600,DISP_SUM,104928.52
3600,POP_SIZE,6424079.89
3600,MAX_DIST,71.59
3600,POPS_NUM,3379.00
3600,DISP_AVG,31.05
3600,MEM_USED,33100000.00
3600,LAST_FPS,2.18
3700,DISP_SUM,115083.53
3700,POP_SIZE,6747825.89
3700,MAX_DIST,75.58
3700,POPS_NUM,3558.00
3700,DISP_AVG,32.35
3700,MEM_USED,33100000.00
3700,LAST_FPS,2.24
3800,DISP_SUM,122919.64
3800,POP_SIZE,6880325.89
3800,MAX_DIST,78.26
3800,POPS_NUM,3691.00
3800,DISP_AVG,33.30
3800,MEM_USED,33100000.00
3800,LAST_FPS,2.29
3900,DISP_SUM,131213.57
3900,POP_SIZE,7035758.89
3900,MAX_DIST,82.29
3900,POPS_NUM,3822.00
3900,DISP_AVG,34.33
3900,MEM_USED,33100000.00
3900,LAST_FPS,2.32
4000,DISP_SUM,138988.79
4000,POP_SIZE,7150914.89
4000,MAX_DIST,82.29
4000,POPS_NUM,3937.00
4000,DISP_AVG,35.30
4000,MEM_USED,33100000.00
4000,LAST_FPS,2.26
4100,DISP_SUM,147106.75
4100,POP_SIZE,7209927.89
4100,MAX_DIST,83.77
4100,POPS_NUM,4059.00
4100,DISP_AVG,36.24
4100,MEM_USED,33100000.00
4100,LAST_FPS,2.39
4200,DISP_SUM,153107.40
4200,POP_SIZE,7223331.89
4200,MAX_DIST,83.77
4200,POPS_NUM,4148.00
4200,DISP_AVG,36.91
4200,MEM_USED,33100000.00
4200,LAST_FPS,1.64
4300,DISP_SUM,157202.42
4300,POP_SIZE,7227592.89
4300,MAX_DIST,84.17
4300,POPS_NUM,4204.00
4300,DISP_AVG,37.39
4300,MEM_USED,33100000.00
4300,LAST_FPS,1.82
4400,DISP_SUM,161215.57
4400,POP_SIZE,7231578.89
4400,MAX_DIST,84.17
4400,POPS_NUM,4258.00
4400,DISP_AVG,37.86
4400,MEM_USED,33100000.00
4400,LAST_FPS,2.49
4500,DISP_SUM,164607.33
4500,POP_SIZE,7235234.89
4500,MAX_DIST,84.17
4500,POPS_NUM,4303.00
4500,DISP_AVG,38.25
4500,MEM_USED,33100000.00
4500,LAST_FPS,2.27
4600,DISP_SUM,167813.92
4600,POP_SIZE,7237420.89
4600,MAX_DIST,84.17
4600,POPS_NUM,4343.00
4600,DISP_AVG,38.64
4600,MEM_USED,33100000.00
4600,LAST_FPS,2.66
4700,DISP_SUM,170441.09
4700,POP_SIZE,7239073.89
4700,MAX_DIST,85.23
4700,POPS_NUM,4375.00
4700,DISP_AVG,38.96
4700,MEM_USED,33100000.00
4700,LAST_FPS,1.87
4800,DISP_SUM,172878.52
4800,POP_SIZE,7240575.89
4800,MAX_DIST,86.09
4800,POPS_NUM,4404.00
4800,DISP_AVG,39.25
4800,MEM_USED,33100000.00
4800,LAST_FPS,2.85
4900,DISP_SUM,175383.01
4900,POP_SIZE,7242120.89
4900,MAX_DIST,88.10
4900,POPS_NUM,4433.00
4900,DISP_AVG,39.56
4900,MEM_USED,33100000.00
4900,LAST_FPS,2.82
5000,DISP_SUM,176808.51
5000,POP_SIZE,7244270.89
5000,MAX_DIST,91.71
5000,POPS_NUM,4449.00
5000,DISP_AVG,39.74
5000,MEM_USED,33100000.00
5000,LAST_FPS,2.79
